البيت,التعبير البلاغي,العنصر البلاغي المستعمل
1,لِمَنِ الدّيَارُ غَشِيتُهَا,تجاهل العارف
2,تَمْشِي النّعَاجُ بِهِ مَعَ الآرَامِ,كناية
4,نَبْكي الدّيارَ كما بكى ابنُ خِذامِ,مجاز
4,نَبْكي بكى,كناية
5,تَسْتَبِيكَ,استعارة
5,بِواضِحٍ,كناية
5,بِواضِحٍ,كناية
6,فُوهَا كَالمِسْكِ بَاتَ وَظَلَّ فِي الفَدّامِ,تشبيه
6,فُوهَا كُلَّمَا نَبَّهْتُهَا كَالمِسْكِ بَاتَ وَظَلَّ فِي الفَدّامِ,كناية
7,أَظْعَانَهُنَّ بِعَاقِلٍ كَالنَّخْلِ مِنْ شَوْكَانِ حِينِ صِرامِ,تشبيه
7,حِينِ صِرامِ,كناية
7,أَفَلا تَرَى أَظْعَانَهُنَّ,تجريد
10,مِنْ خَمْرِ عَانَةَ,كناية
10,أَوْ كُرُومِ شِبَامِ,كناية
10,أنُفٌ,استعارة
10,كَلَوْنِ دَمِ الغَزَالِ,تشبيه
11,وَكَأَنَّ شَارِبَهَا أَصَابَ لِسَانَهُ مُومٌ يُخَالِطُ خَبْلَهُ بِعِظَامِ,تشبيه
11,يُخَالِطُ خَبْلَهُ بِعِظَامِ,استعارة
12,وَمُجِدَّةٍ,كناية
12,فَتَكَمَّشَتْ رَتْكَ النَّعَامَةِ فِي طَرِيقٍ حَامِ,تشبيه
13,يَأْتِي عَلَيْهَا,كناية
13,وَاهٍ خُفُّهَا,كناية
13,عَوْجَاءُ,كناية
13,مَنْسِمُهَا رَثِيمٌ دَامِ,كناية
14,إِنِّي امْرُؤٌ صَرْعِي عَلَيْكِ حَرَامِ,كناية
14,لِتَصْرَعَنِي صَرْعِي,اشتقاق
15,القَرَا,مجاز
15,فَجُزِيتِ جَزَاءِ,اشتقاق
15,سَالِمَةَ بِسَلامِ,اشتقاق
16,وَكَأَنَّمَا مِنْ عَاقِلٍ أَرْمَامُ,كناية
16,وَكَأَنَّمَا بَدْرٌ وَصِيلٌ كُتَيْفَةٍ,مبالغة
16,وَكَأَنَّمَا مِنْ عَاقِلٍ أَرْمَامُ,مبالغة
16,وَكَأَنَّمَا بَدْرٌ وَصِيلٌ كُتَيْفَةٍ,كناية
17,إِنْ عَشَوْتَ أَمَامِي,استعارة
18,لا أَشُدُّ حِزَامِي,استعارة
19,وَإذا أُناضِلُ لا تَطِيشُ سِهَامِي,استعارة
19,وَأُنَازِلُ نِزَالُهُ,اشتقاق
20,وَأنَا المُنَبِّهُ بَعْدَمَا قَدْ نَوَّمُوا,كناية
20,وَأنَا المُعَالِنُ صَفْحَة,كناية
20,نَوَّمُوا النُّوّامِ,رد الأعجاز على الصدور
20,المُنَبِّهُ النُّوّامِ,طباق
23,وَلا أُقِيمُ مُقَام,رد الأعجاز على الصدور
14,جَالَتْ لِتَصْرَعَنِي فَقُلْتُ لَهَا اقْصِرِي فَجُزِيتِ خَيْرَ جَزَاءِ نَاقَةِ وَاحِدٍ إِنِّي امْرُؤٌ صَرْعِي عَلَيْكِ حَرَامِ وَرَجَعْتِ سَالِمَةَ القَرَا بِسَلامِ,مبالغة
9,وَظَلِلْتُ فِي دِمَنِ الدِّيَارِ كَأَنَّنِي أنُفٌ كَلَوْنِ دَمِ الغَزَالِ مُعَتَّقٌ وَكَأَنَّ شَارِبَهَا أَصَابَ لِسَانَهُ نَشْوَانُ بَاكَرَهُ صَبُوحُ مُدَامِ مِنْ خَمْرِ عَانَةَ أَوْ كُرُومِ شِبَامِ مُومٌ يُخَالِطُ خَبْلَهُ بِعِظَامِ,تشبيه
